ID,Card ID,Spending Category,CB Percentage,Total Max Cap,Category Max Cap,RP1,Spend Conversion,RP2,Threshold 2,RP3,Threshold 3,Category Max Points,Total Max Points,Cash Conversion,Other Conversion,,,,,,,,,,,,,,,,,,,,,,,,
127,54,hdfc_4MB,0,0,0,4,150,0,0,0,0,13335,68670,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
128,54,hdfc_8MB,0,0,0,8,150,0,0,0,0,53335,68670,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
129,57,idfc_1RP,0,0,0,1,150,0,0,0,0,1000000,1000000,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
130,57,no_benefit,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
131,58,idfc_3RP,0,0,0,3,150,0,0,0,0,400,0,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
132,58,no_benefit,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
133,71,idfc_3RP,0,0,0,3,150,10,20001,0,0,100000000,100000000,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
134,71,idfc_1RP,0,0,0,1,150,0,0,0,0,100000000,100000000,1,0,,,,,,,,,,,,,,,,,,,,,,,,
135,71,no_benefit,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
136,72,idfc_3RP,0,0,0,3,150,10,20001,0,0,1000000000,1000000000,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
137,72,idfc_1RP,0,0,0,1,150,0,0,0,0,1000000000,1000000000,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
138,72,no_benefit,0,0,0,-1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
139,64,sbi_2RP,0,0,0,2,100,0,0,0,0,2000,2000,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
140,64,sbi_10RP,0,0,0,10,100,0,0,0,0,2000,2000,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
141,64,no_benefit,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
142,56,hdfc_1P,0,0,0,1,100,0,0,0,0,500,1500,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
