ID,Category Name,Flipkart Spends,Amazon Spends,Grocery spends online,Online food ordering,Other online spends,Other offline spends,Dining or going out,Fuel,School fees,Rent,Mobile phone bills,Electricity bills,Water bills,OTT channels,New monthly category 1,New monthly category 2,New monthly category 3,Hotels annual,Flights annual,Insurance health annual,Insurance car or bike annual,Large electronics purchase like mobile TV etc,All pharmacy,New category 1,New category 2,New category 3
54,Indus TCC,indus_3.5,indus_3.5,indus_3.5,indus_3.5,indus_3.5,indus_3.5,indus_3.5,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,indus_3.5,no_benefit,no_benefit,no_benefit,indus_3.5,indus_3.5,indus_3.5,indus_3.5,indus_3.5,indus_3.5,no_benefit,no_benefit,no_benefit
55,SBI ECC,sbi_2RP,sbi_2RP,sbi_5RP,sbi_2RP,sbi_2RP,sbi_5RP,sbi_5RP,no_benefit,no_benefit,no_benefit,sbi_2RP,sbi_2RP,sbi_2RP,sbi_2RP,no_benefit,no_benefit,no_benefit,sbi_2RP,sbi_2RP,sbi_2RP,sbi_2RP,sbi_2RP,sbi_2RP,no_benefit,no_benefit,no_benefit
56,SBI PCC,sbi_2RP,sbi_2RP,sbi_10RP,sbi_2RP,sbi_2RP,sbi_2RP,sbi_10RP,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,sbi_2RP,no_benefit,no_benefit,no_benefit,sbi_2RP,sbi_2RP,no_benefit,no_benefit,sbi_2RP,sbi_2RP,no_benefit,no_benefit,no_benefit
57,SBI SSCC,sbi_1RP,sbi_1RP,sbi_10RP,sbi_1RP,sbi_1RP,sbi_1RP,sbi_1RP,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,sbi_10RP,no_benefit,no_benefit,no_benefit,sbi_10RP,sbi_10RP,no_benefit,no_benefit,sbi_10RP,sbi_10RP,no_benefit,no_benefit,no_benefit
58,AMEX GCC,amex_1MR,amex_1MR,amex_1MR,amex_1MR,amex_1MR,amex_1MR,amex_1MR,amex_1MR,amex_1MR,no_benefit,amex_1MR,amex_1MR,amex_1MR,amex_1MR,no_benefit,,no_benefit,amex_1MR,amex_1MR,no_benefit,no_benefit,amex_1MR,amex_1MR,no_benefit,no_benefit,no_benefit
59,AXIS RCC,axis_2ER,axis_2ER,axis_2ER,axis_2ER,axis_2ER,axis_2ER,axis_2ER,axis_2ER,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,axis_2ER,no_benefit,no_benefit,no_benefit,axis_2ER,axis_2ER,no_benefit,no_benefit,axis_2ER,axis_2ER,no_benefit,no_benefit,no_benefit
60,Axis ATLASCC,axis_2EM,axis_2EM,axis_2EM,axis_2EM,axis_2EM,axis_2EM,axis_2EM,axis_2EM,axis_2EM,no_benefit,no_benefit,no_benefit,no_benefit,axis_2EM,no_benefit,no_benefit,no_benefit,axis_5EM,axis_5EM,no_benefit,no_benefit,axis_2EM,axis_2EM,no_benefit,no_benefit,no_benefit
61,AXIS ACC,axis_2ER,axis_2ER,axis_2ER,axis_2ER,axis_2ER,axis_2ER,axis_2ER,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,axis_2ER,no_benefit,no_benefit,no_benefit,axis_2ER,axis_2ER,axis_10ER,axis_10ER,axis_2ER,axis_2ER,no_benefit,no_benefit,no_benefit
62,HDFC FCC,hdfc_1RP,hdfc_1RP,hdfc_10RP,hdfc_10RP,hdfc_1RP,hdfc_1RP,hdfc_10RP,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,hdfc_1RP,no_benefit,no_benefit,no_benefit,hdfc_10RP,hdfc_10RP,no_benefit,no_benefit,hdfc_1RP,hdfc_1RP,no_benefit,no_benefit,no_benefit
63,HDFC 6ER,hdfc_1RP,hdfc_1RP,hdfc_2GRP,hdfc_1RP,hdfc_1RP,hdfc_1RP,hdfc_2RP,no_benefit,no_benefit,no_benefit,hdfc_1RP,hdfc_1RP,hdfc_1RP,hdfc_2RP,hdfc_1RP,hdfc_1RP,hdfc_1RP,hdfc_1RP,hdfc_2.5RP,hdfc_1RP,hdfc_1RP,hdfc_1RP,hdfc_1RP,no_benefit,no_benefit,no_benefit
64,IDFC Wealth Credit Card,idfc_3RP,idfc_3RP,idfc_3RP,idfc_3RP,idfc_3RP,idfc_3RP,idfc_3RP,no_benefit,no_benefit,idfc_3RP_rent,idfc_1RP,idfc_1RP,idfc_1RP,idfc_3RP,no_benefit,no_benefit,no_benefit,idfc_3RP,idfc_3RP,idfc_1RP,idfc_1RP,idfc_3RP,idfc_3RP,no_benefit,no_benefit,no_benefit
65,IDFC First Classic,idfc_3RP,idfc_3RP,idfc_3RP,idfc_3RP,idfc_3RP,idfc_3RP,idfc_3RP,no_benefit,idfc_3RP,idfc_3RP_rent,idfc_1RP,idfc_1RP,idfc_1RP,idfc_3RP,no_benefit,no_benefit,no_benefit,idfc_3RP,idfc_3RP,idfc_1RP,idfc_1RP,idfc_3RP,idfc_3RP,no_benefit,no_benefit,no_benefit
66,IDFC Power Plus,idfc_2RP,idfc_2RP,idfc_15RP,idfc_2RP,idfc_2RP,idfc_2RP,idfc_2RP,idfc_19.5RP,no_benefit,no_benefit,idfc_15RP,idfc_15RP,idfc_15RP,idfc_2RP,no_benefit,no_benefit,no_benefit,idfc_2RP,idfc_2RP,idfc_2RP,idfc_2RP,idfc_2RP,idfc_2RP,no_benefit,no_benefit,no_benefit
67,Indus AECC,indus_0.5RP,indus_0.5RP,indus_0.5RP,indus_0.5RP,indus_1.5RP_books,indus_4RP,indus_1.5RP,,,,,,,indus_0.5RP,,,,indus_0.5RP,indus_0.5RP,,,indus_2RP,indus_0.5RP,,,
68,ICICI APCC,icici_1P,icici_5P,icici_5P,icici_1P,icici_1P,icici_1P,icici_1P,icici_1P,icici_2P,no_benefit,icici_2P,icici_2P,icici_2P,icici_2P,no_benefit,no_benefit,no_benefit,icici_5P,icici_5P,no_benefit,no_benefit,icici_5P,icici_5P,no_benefit,no_benefit,no_benefit
69,HSBC Live Plus,HSBC1.5,HSBC1.5,HSBC10,HSBC10,HSBC1.5,HSBC1.5,HSBC10,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,HSBC1.5,no_benefit,no_benefit,no_benefit,HSBC1.5,HSBC1.5,no_benefit,no_benefit,HSBC1.5,HSBC1.5,no_benefit,no_benefit,no_benefit
70,HSBC PCC,hsbc2RP,hsbc2RP,hsbc2RP,hsbc2RP,hsbc2RP,hsbc2RP,hsbc2RP,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,hsbc2RP,no_benefit,no_benefit,no_benefit,hsbc2RP,hsbc2RP,no_benefit,no_benefit,hsbc2RP,hsbc2RP,no_benefit,hsbc2RP,hsbc2RP
71,,,,,,,,,,,,,,,,,,,,,20000,10000,,,,,
